team,ppda,agix_index,nec_index,control_index,ORtg,DRtg,DGRtg,consistency,pace_index,dgr_index
Arsenal FC,10.797,10.1,79.0,94.1,1.898,0.71,2.4,0.6545,7.8,100.0
París Saint-Germain FC,9.23,79.0,92.4,99.7,1.789,1.28,2.399,0.6478,78.2,99.7
Bayern Múnich,10.15,99.4,100.0,98.9,2.751,1.587,2.395,0.7302,98.3,99.4
Manchester City,11.288,72.5,86.3,97.5,1.94,0.925,2.296,0.6341,71.7,99.2
FC Barcelona,7.663,97.2,97.5,100.0,2.198,1.21,2.291,0.6379,99.2,98.9
Real Madrid CF,12.054,70.9,93.0,96.4,1.816,1.172,2.19,0.662,95.2,98.6
Manchester United,10.696,63.0,90.8,77.9,1.815,1.315,2.152,0.6704,88.2,98.3
Aston Villa,11.918,30.0,63.9,59.9,1.595,1.29,2.145,0.6848,53.5,98.0
Liverpool FC,11.467,38.4,77.6,91.9,1.728,1.395,2.125,0.5699,65.5,97.8
Inter de Milán,10.895,74.2,96.6,98.0,1.78,1.333,2.111,0.6998,65.8,97.5
Chelsea FC,10.578,67.2,66.4,85.4,1.6,1.37,2.066,0.6011,72.0,97.2
Atlético de Madrid,12.129,84.9,72.3,74.4,1.511,1.471,2.055,0.6557,63.3,96.9
Newcastle United,12.087,72.3,73.9,61.6,1.596,1.45,2.041,0.6253,88.0,96.5
AFC Bournemouth,9.829,68.6,77.9,55.6,1.53,1.42,2.039,0.6378,76.5,96.1
Borussia Dortmund,11.782,26.3,88.8,79.6,1.645,1.498,2.033,0.6265,46.2,95.8
Brighton & Hove Albion,9.94,34.5,47.1,70.9,1.37,1.21,2.032,0.5995,45.1,95.5
Brentford FC,12.187,52.4,51.8,30.8,1.45,1.37,2.022,0.5898,51.5,95.2
Nottingham Forest,12.217,23.5,35.6,34.2,1.308,1.34,2.0,0.6303,44.3,95.0
Como 1907,8.485,14.0,73.7,96.9,1.376,1.108,1.988,0.6429,15.4,94.7
Crystal Palace,11.448,29.1,15.1,37.0,1.212,1.34,1.983,0.6813,42.3,94.4
Fulham FC,11.709,21.6,15.7,60.8,1.235,1.34,1.982,0.6063,25.5,93.8
Sunderland AFC,13.121,6.4,7.8,9.4,1.105,1.26,1.982,0.6172,9.5,93.8
Tottenham Hotspur,10.125,56.9,37.3,48.5,1.452,1.5,1.982,0.6692,30.5,93.8
RC Lens,10.523,74.5,87.7,82.4,1.531,1.535,1.981,0.6412,78.7,93.3
AS Roma,9.526,5.3,65.0,88.5,1.275,1.188,1.978,0.7103,19.3,93.0
Everton FC,12.836,10.9,17.4,10.5,1.24,1.315,1.976,0.6532,27.2,92.7
Juventus de Turín,11.772,12.3,79.6,93.3,1.339,1.297,1.971,0.6113,62.2,92.4
Villarreal CF,13.9,65.3,78.7,32.8,1.424,1.541,1.966,0.5492,50.7,91.9
Leeds United,12.051,26.6,40.6,37.3,1.29,1.475,1.954,0.6284,54.3,91.6
Real Betis Balompié,11.956,82.4,67.2,61.3,1.369,1.611,1.95,0.664,48.5,91.3
SSC Nápoles,13.653,27.7,65.5,91.6,1.166,1.376,1.923,0.5867,8.7,91.0
VfB Stuttgart,10.411,90.8,96.4,86.4,1.579,2.157,1.909,0.6574,91.6,90.2
RC Celta de Vigo,15.31,5.9,30.3,38.1,1.241,1.605,1.903,0.6385,24.6,89.8
AC Milan,14.575,6.7,38.9,72.3,1.123,1.34,1.902,0.5702,37.5,89.4
RB Leipzig,11.776,76.5,93.3,83.1,1.531,2.074,1.899,0.6599,92.7,89.1
Bayer 04 Leverkusen,13.124,96.1,80.4,86.8,1.473,2.074,1.894,0.5745,86.3,88.5
Olympique de Lyon,11.275,48.5,68.9,67.8,1.282,1.76,1.892,0.624,49.0,88.0
Atalanta de Bérgamo,11.638,36.4,35.3,83.1,1.08,1.376,1.874,0.5947,61.9,87.7
Rayo Vallecano,8.422,23.8,18.8,65.5,1.044,1.477,1.871,0.6743,41.5,87.4
LOSC Lille,10.792,1.4,31.9,91.3,1.137,1.632,1.865,0.5457,8.1,86.7
TSG 1899 Hoffenheim,9.567,97.5,91.0,78.4,1.507,2.291,1.857,0.6477,81.2,86.3
Olympique de Marsella,11.542,40.1,85.4,87.7,1.385,1.984,1.855,0.5989,87.7,86.0
Stade Rennais FC,10.975,77.3,87.4,64.4,1.369,2.201,1.832,0.6604,85.7,85.3
Racing Club de Estrasburgo,12.237,55.7,71.7,60.2,1.313,2.074,1.832,0.6033,67.8,85.3
Bolonia,9.962,21.8,42.6,81.8,1.083,1.753,1.827,0.6265,20.2,84.9
Real Sociedad,10.671,70.6,73.4,49.6,1.349,2.044,1.81,0.6672,68.6,84.6
Getafe CF,10.623,0.0,1.1,3.1,0.733,1.274,1.806,0.5445,0.6,84.3
AS Mónaco,10.66,59.7,83.8,63.3,1.304,2.374,1.796,0.6529,84.0,84.0
Valencia CF,12.592,1.1,9.2,44.0,1.05,1.84,1.787,0.6238,6.4,83.1
CA Osasuna,12.696,10.6,26.3,41.2,1.002,1.675,1.775,0.619,35.0,82.4
Elche CF,8.709,34.7,33.6,61.1,1.12,1.91,1.773,0.6431,49.3,81.9
SS Lazio,15.922,2.0,13.7,39.5,0.869,1.528,1.772,0.6121,12.0,81.5
SC Friburgo,12.284,25.8,68.1,40.1,1.204,2.508,1.766,0.6086,51.3,81.2
RCD Espanyol,13.099,16.5,20.2,9.8,0.985,1.84,1.762,0.625,67.2,81.0
Deportivo Alavés,11.068,8.1,15.4,41.6,1.007,1.878,1.753,0.6582,26.9,80.4
Athletic Club,11.365,26.1,19.3,72.5,0.983,1.949,1.744,0.5583,25.2,80.1
Sevilla FC,9.264,25.5,16.0,58.8,1.05,2.012,1.742,0.5901,9.0,79.4
Levante UD,13.537,45.7,23.2,5.6,1.076,2.044,1.741,0.5998,58.0,79.0
Toulouse FC,13.659,49.3,59.7,29.1,1.125,2.089,1.738,0.5857,28.6,78.6
Udinese,12.253,14.3,16.5,26.3,0.954,1.833,1.737,0.5962,16.8,78.2
US Sassuolo,14.142,40.9,21.0,11.8,0.978,1.905,1.731,0.6438,43.4,77.6
Fiorentina,12.936,7.0,12.0,50.4,0.95,1.912,1.728,0.686,50.4,77.3
FC Lorient,16.321,4.2,51.3,37.8,1.113,2.246,1.722,0.6411,17.4,75.9
Paris FC,13.318,60.5,42.0,47.3,1.093,2.201,1.717,0.6117,40.6,75.6
Eintracht Fráncfort​​,12.17,89.9,79.3,62.0,1.331,2.868,1.686,0.5627,65.0,74.2
1.FSV Mainz 05,12.134,56.0,39.8,16.0,0.991,2.336,1.683,0.6153,59.9,73.8
Génova,10.679,16.2,12.6,39.2,0.869,1.949,1.677,0.565,34.5,73.1
Cagliari,12.728,19.0,9.0,18.2,0.849,2.021,1.67,0.5386,19.0,72.8
Parma,14.922,0.8,0.8,4.8,0.591,1.76,1.654,0.5872,2.0,70.7
Borussia Mönchengladbach,13.731,55.5,25.2,27.7,0.975,2.336,1.653,0.6371,51.0,70.3
Torino FC,13.177,53.2,25.8,11.2,0.929,2.405,1.649,0.641,49.6,69.6
Stade Brestois 29,12.042,80.1,21.8,6.2,0.998,2.419,1.649,0.6141,33.3,69.6
FC Augsburgo,13.914,84.0,63.3,15.7,1.046,2.688,1.644,0.671,81.0,68.8
1.FC Unión Berlín,14.445,44.3,41.2,10.5,1.022,2.553,1.642,0.5954,36.7,68.3
Hamburgo SV,12.915,57.1,31.4,25.9,0.927,2.374,1.641,0.6452,74.8,67.9
AJ Auxerre,11.573,7.8,11.8,20.3,0.789,1.939,1.641,0.5984,9.2,67.9
Le Havre AC,10.969,17.6,5.6,25.5,0.746,1.939,1.636,0.5616,13.2,67.2
FC Colonia,14.061,61.9,60.2,42.9,1.136,2.771,1.612,0.6639,82.9,63.3
US Lecce,12.234,4.5,0.6,2.7,0.591,1.905,1.61,0.5873,1.4,62.6
Angers SCO,14.957,1.7,1.7,1.7,0.675,2.119,1.601,0.6173,16.5,61.3
Real Racing Club,15.328,65.8,66.1,22.4,1.287,1.887,1.591,0.6556,63.9,59.4
SV Werder Bremen,11.871,22.4,19.0,51.3,0.86,2.643,1.561,0.5634,42.9,55.5
OGC Niza,13.284,81.5,20.4,12.0,0.826,2.643,1.552,0.5659,60.5,53.6
West Ham United,7.87,46.5,49.6,76.8,0.91,2.39,1.73,0.61,18.2,76.9
Wolverhampton Wanderers,9.39,20.6,35.9,67.3,0.81,2.15,1.73,0.57,8.70,76.9
Burnley FC,9.61,39.9,61.0,83.4,0.91,2.39,1.76,0.56,40.2,80.1
VfL Wolfsburgo,8.99,72.8,71.1,69.5,0.88,4.54,1.54,0.58,79.0,50.1
FC St. Pauli,10.1,36.0,51.8,58.3,0.72,3.71,1.53,0.55,21.9,46.8
1.FC Heidenheim 1846,8.60,54.3,60.8,68.2,0.80,4.13,1.49,0.60,45.1,41.2
