Player,grupo_posicional,similar_1,score_1,similar_2,score_2,similar_3,score_3,similar_4,score_4,similar_5,score_5,similar_6,score_6,similar_7,score_7,similar_8,score_8,similar_9,score_9,similar_10,score_10,similar_11,score_11,similar_12,score_12,similar_13,score_13,similar_14,score_14,similar_15,score_15
Anton Stach,Pivote,Danilo Cataldi,0.9475,Hakan Çalhanoğlu,0.9471,Joshua Kimmich,0.9059,Rolando Mandragora,0.8866,Aleksandar Pavlovic,0.8841,Nabil Bentaleb,0.8665,Gianluca Gaetano,0.8592,Robin Fellhauer,0.8557,Pierre Højbjerg,0.8472,Youssouf Fofana,0.8418,Wouter Burger,0.816,Ryan Gravenberch,0.8138,Vitinha,0.8118,Raúl,0.8087,Tyler Morton,0.7917
Manuel Ugarte,Pivote,Vinicius Souza,0.9306,Nicolas Fonseca,0.922,Geoffrey Kondogbia,0.9161,Yves Bissouma,0.9115,Oumar Ngom,0.9012,Carlos Baleba,0.8922,Roméo Lavia,0.8794,Mikel Vesga,0.8129,Orel Mangala,0.7852,Rabby Nzingoula,0.7765,Marius Marin,0.758,Senne Lynen,0.7378,Fodé Sylla,0.729,Jean Onana,0.7245,Mohamadou Kanté,0.7171
Tomáš Souček,Pivote,Raúl,0.914,Kristijan Jakić,0.8815,Rani Khedira,0.8347,Julian Niehues,0.8309,Casemiro,0.8195,Martín Zubimendi,0.8135,Lohann Doucet,0.8018,Lesley Ugochukwu,0.8012,Baptiste Santamaria,0.7812,Máximo Perrone,0.7743,Wouter Burger,0.7719,Aleksandar Pavlovic,0.7638,Charles Pickel,0.7582,Kervin Arriaga,0.752,Samu Costa,0.7472
João Palhinha,Pivote,Marc Bernal,0.9425,Ryan Gravenberch,0.9226,Ibrahim Sangaré,0.9031,Yannik Engelhardt,0.847,Abdoulaye Touré,0.8427,Max Oyedele,0.8385,Pierre Højbjerg,0.8249,Rolando Mandragora,0.8084,Aleksandar Pavlovic,0.8076,Omar Mascarell,0.8073,Moisés Caicedo,0.8031,Amadou Onana,0.7933,Marc Roca,0.789,Hakan Çalhanoğlu,0.783,Boubacar Kamara,0.78
Lamare Bogarde,Pivote,Dario Essugo,0.9494,Yannik Keitel,0.944,Elisha Owusu,0.9024,Yvan Neyou,0.899,Salis Abdul Samed,0.896,Sofyan Amrabat,0.8831,Kwon Hyeokkyu,0.8805,Marius Marin,0.8503,Roméo Lavia,0.8386,Vinicius Souza,0.8215,Balthazar Pierret,0.8142,Sota Kawasaki,0.7934,Mohamadou Kanté,0.7838,Marc Casado,0.7759,Carlos Baleba,0.7359
Florentino Luís,Pivote,Charles Vanhoutte,0.8462,Cheikh Niasse,0.8187,Luca Lipani,0.7667,Sota Kawasaki,0.6443,Jean Onana,0.6409,Lennard Maloney,0.6257,Tom Krauß,0.604,Ibrahima Sissoko,0.5978,Marius Marin,0.5893,Idrissa Sabaly,0.5828,Fodé Sylla,0.5571,Nicolas Fonseca,0.5515,Adrien Tameze,0.5505,Lucien Agoume,0.5351,Junior Mwanga,0.5276
Soungoutou Magassa,Pivote,Ethan Ampadu,0.8484,Moisés Caicedo,0.8435,Marc Bernal,0.817,Adama Camara,0.7898,João Palhinha,0.7735,Max Oyedele,0.7729,James Sands,0.7577,Yannik Engelhardt,0.753,Ylber Ramadani,0.725,Batista Mendy,0.7104,André,0.7051,Benjamin André,0.6979,Abdoulaye Touré,0.6875,Oussama El Azzouzi,0.6867,Maguette Gueye,0.6863
Casemiro,Pivote,Kervin Arriaga,0.9564,Lesley Ugochukwu,0.8499,Raúl,0.8486,Charles Pickel,0.8474,Wouter Burger,0.8428,Pierre Lees-Melou,0.8291,Tomáš Souček,0.8195,Eric Martel,0.8124,Tyler Morton,0.7561,Adam Wharton,0.7542,Moisés Caicedo,0.716,Samu Costa,0.7132,Axel Witsel,0.6958,Hakan Çalhanoğlu,0.6776,Tyler Adams,0.6739
Adam Wharton,Pivote,Pierre Lees-Melou,0.9475,Marten de Roon,0.8537,Kervin Arriaga,0.8037,Eric Martel,0.8013,Tyler Morton,0.7806,Axel Witsel,0.7762,Lesley Ugochukwu,0.756,Casemiro,0.7542,Ezequiél Fernández,0.7181,Idrissa Gana Gueye,0.7092,Charles Pickel,0.6778,Al-Musrati,0.6644,Robert Andrich,0.653,Wouter Burger,0.6083,Raúl,0.5821
Roméo Lavia,Pivote,Vinicius Souza,0.9483,Mikel Vesga,0.9086,Elisha Owusu,0.8796,Manuel Ugarte,0.8794,Carlos Baleba,0.8676,Sota Kawasaki,0.865,Marius Marin,0.8599,Nicolas Fonseca,0.8569,Lamare Bogarde,0.8386,Geoffrey Kondogbia,0.8363,Benjamin Stambouli,0.8323,Yannik Keitel,0.8287,Sofyan Amrabat,0.8256,Oumar Ngom,0.8243,Salis Abdul Samed,0.8234
Sandro Tonali,Pivote,Kristjan Asllani,0.7353,Nahuel Estévez,0.7009,Niklas Dorsch,0.6872,Hans Nicolussi Caviglia,0.6549,Maxime Lopez,0.6157,Teun Koopmeiners,0.5999,Hamidou Makalou,0.5889,Johann Lepenant,0.5831,Santiago Colombatto,0.5605,Tochukwu Nnadi,0.5562,Cheikh Niasse,0.556,Assane Dioussé,0.5313,Jacopo Grossi,0.5202,Freddie Potts,0.5072,Iker Muñoz,0.5066
Lesley Ugochukwu,Pivote,Charles Pickel,0.9232,Kervin Arriaga,0.908,Axel Witsel,0.9003,Casemiro,0.8499,Robert Andrich,0.8272,Eric Martel,0.8124,Tomáš Souček,0.8012,Marten de Roon,0.7865,Raúl,0.7689,Pierre Lees-Melou,0.7561,Adam Wharton,0.756,Tyler Morton,0.745,Idrissa Gana Gueye,0.6754,Nemanja Matić,0.6314,Wouter Burger,0.6105
